station_id,station_complex_id,station_complex,days,heatwave_days,storm_days,event_days,median_entries,pct_heatwave,pct_storm,pct_event
108,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",658,9,17,29,133877.5,0.013677811550151976,0.025835866261398176,0.044072948328267476
107,610,"Grand Central-42 St (S,4,5,6,7)",658,9,17,65,102199.5,0.013677811550151976,0.025835866261398176,0.09878419452887538
105,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",658,9,17,13,73660.5,0.013677811550151976,0.025835866261398176,0.019756838905775075
103,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",658,9,17,36,66299,0.013677811550151976,0.025835866261398176,0.0547112462006079
118,628,"Fulton St (A,C,J,Z,2,3,4,5)",658,9,17,13,57854,0.013677811550151976,0.025835866261398176,0.019756838905775075
27,164,"34 St-Penn Station (A,C,E)",658,9,17,2,55335,0.013677811550151976,0.025835866261398176,0.00303951367781155
65,318,"34 St-Penn Station (1,2,3)",658,9,17,12,49223.5,0.013677811550151976,0.025835866261398176,0.0182370820668693
111,614,"59 St-Columbus Circle (A,B,C,D,1)",658,9,17,26,48177,0.013677811550151976,0.025835866261398176,0.03951367781155015
116,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",658,9,17,22,40752.5,0.013677811550151976,0.025835866261398176,0.03343465045592705
109,612,"Lexington Av-53 St (E,M)/51 St (6)",658,9,17,30,39076,0.013677811550151976,0.025835866261398176,0.04559270516717325
39,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",658,9,17,21,37986.5,0.013677811550151976,0.025835866261398176,0.031914893617021274
110,613,"Lexington Av (N,R,W)/59 St (4,5,6)",658,9,17,5,36483.5,0.013677811550151976,0.025835866261398176,0.007598784194528876
106,609,"Bryant Pk (B,D,F,M)/5 Av (7)",658,9,17,41,36459.5,0.013677811550151976,0.025835866261398176,0.06231003039513678
112,618,"14 St (A,C,E)/8 Av (L)",658,9,17,40,33448.5,0.013677811550151976,0.025835866261398176,0.060790273556231005
82,397,"86 St (4,5,6)",658,9,17,10,32978,0.013677811550151976,0.025835866261398176,0.015197568389057751
115,623,"Canal St (J,N,Q,R,W,Z,6)",658,9,17,52,31835.5,0.013677811550151976,0.025835866261398176,0.0790273556231003
29,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",658,9,17,32,30769.5,0.013677811550151976,0.025835866261398176,0.0486322188449848
102,601,"14 St (F,M,1,2,3)/6 Av (L)",658,9,17,23,30462.5,0.013677811550151976,0.025835866261398176,0.034954407294832825
113,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",658,9,17,71,28676,0.013677811550151976,0.025835866261398176,0.10790273556231003
62,313,"72 St (1,2,3)",658,9,17,8,27530,0.013677811550151976,0.025835866261398176,0.0121580547112462
59,310,"96 St (1,2,3)",656,9,17,11,24397.5,0.013719512195121951,0.025914634146341462,0.01676829268292683
121,9,"57 St-7 Av (N,Q,R,W)",658,9,17,1,23862.5,0.013677811550151976,0.025835866261398176,0.001519756838905775
101,477,72 St (Q),658,9,17,10,22055,0.013677811550151976,0.025835866261398176,0.015197568389057751
117,625,"Delancey St (F)/Essex St (J,M,Z)",658,9,17,26,20469,0.013677811550151976,0.025835866261398176,0.03951367781155015
83,398,77 St (6),658,9,17,12,20438.5,0.013677811550151976,0.025835866261398176,0.0182370820668693
119,635,"South Ferry (1)/Whitehall St (R,W)",658,9,17,4,19835.5,0.013677811550151976,0.025835866261398176,0.0060790273556231
85,403,33 St (6),654,9,17,9,19144,0.013761467889908258,0.02599388379204893,0.013761467889908258
114,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",658,9,17,22,18917,0.013677811550151976,0.025835866261398176,0.03343465045592705
5,119,1 Av (L),650,9,17,21,18913.5,0.013846153846153847,0.026153846153846153,0.03230769230769231
1,10,"49 St (N,R,W)",657,9,17,7,18753,0.0136986301369863,0.0258751902587519,0.0106544901065449
98,471,34 St-Hudson Yards (7),632,9,16,45,18696.5,0.014240506329113924,0.02531645569620253,0.071202531645569625
40,228,"23 St (F,M)",655,9,17,14,18270,0.013740458015267175,0.025954198473282442,0.021374045801526718
17,153,"125 St (A,C,B,D)",656,9,17,28,17855,0.013719512195121951,0.025914634146341462,0.042682926829268296
100,476,86 St (Q),658,9,17,13,17113.5,0.013677811550151976,0.025835866261398176,0.019756838905775075
41,231,"Grand St (B,D)",643,9,16,7,16808,0.013996889580093312,0.024883359253499222,0.01088646967340591
104,605,"168 St (A,C,1)",658,9,17,14,16749,0.013677811550151976,0.025835866261398176,0.02127659574468085
77,392,"125 St (4,5,6)",658,9,17,21,16654.5,0.013677811550151976,0.025835866261398176,0.031914893617021274
87,405,23 St (6),654,9,17,18,16540,0.013761467889908258,0.02599388379204893,0.027522935779816515
64,316,50 St (1),657,9,17,1,16424,0.0136986301369863,0.0258751902587519,0.0015220700152207
91,414,"Bowling Green (4,5)",654,9,17,8,16209,0.013761467889908258,0.02599388379204893,0.012232415902140673
26,162,"50 St (C,E)",658,9,17,16,15701,0.013677811550151976,0.025835866261398176,0.0243161094224924
84,399,68 St-Hunter College (6),658,9,17,22,15096,0.013677811550151976,0.025835866261398176,0.03343465045592705
28,165,"23 St (C,E)",657,9,17,17,15031,0.0136986301369863,0.0258751902587519,0.0258751902587519
15,151,"145 St (A,C,B,D)",658,9,17,18,14634,0.013677811550151976,0.025835866261398176,0.02735562310030395
