event_id,lon,lat
809531,-73.940950771076,40.816660763669
804555,-73.990867736317,40.734396539292
765606,-73.993099999953,40.76033400559
803996,-73.999320592982,40.722397947553
792913,-73.956825373851,40.784997711401
807492,-73.987476143837,40.72182284107
811205,-73.989561830642,40.714117093344
748533,-73.965405018053,40.806120005812
808752,-73.918515604782,40.863425209921
748788,-73.97258877022,40.756179156915
804527,-73.969216670913,40.799381643481
809489,-73.937938469522,40.82944262201
798117,-73.942147910698,40.793023382083
811392,-73.939837614978,40.805675345848
789810,-73.978533999054,40.722379942216
798059,-73.966928394872,40.759113403398
810039,-73.945158279475,40.817615618379
810410,-73.961729615336,40.814223013623
807867,-73.980316004707,40.726272990334
802924,-73.959703768908,40.815522792454
812023,-74.003026016989,40.7114329984
760712,-74.01507571345,40.714293579299
752396,-74.015216992244,40.707111331032
754593,NA,NA
748884,-73.971741689066,40.764577001984
810451,-73.999852853321,40.717466080985
776447,-74.005402777856,40.704549042158
801847,-73.969620025703,40.796270515209
793028,-73.940426010818,40.804766528868
805678,-73.944785085244,40.797447324079
806934,-73.981839164304,40.760513845579
810667,-73.997447015012,40.721947588797
754528,-73.982206101175,40.718870583851
806591,-73.997247631577,40.724859744295
801640,-73.994529731898,40.723891953296
802263,-73.996604804235,40.709158152018
766153,-73.986859348673,40.747723427342
799233,-73.972182667534,40.789010177102
794627,-73.987033044756,40.742145285942
748786,-73.982331323426,40.762370361541
750894,-73.989971035155,40.767192980632
748523,-73.990087735747,40.732476493063
802327,-73.987141853804,40.71881732825
809165,-73.952514992073,40.80068798773
766219,-73.97993999253,40.754765007065
766115,-74.012148952092,40.707084546781
804899,-73.985346491334,40.773400304912
794001,-73.981771522193,40.722174009179
748785,-73.973973757271,40.754280436596
748520,-73.990295957674,40.746354168566
784330,-73.964171998186,40.772143500285
788076,-74.00367901674,40.745805188704
743158,NA,NA
812655,-74.00105138888,40.754505756096
813287,-74.002576492249,40.749916492803
812663,-73.990864963138,40.750647469561
748678,-73.973849911231,40.753036050942
799415,-73.997578115201,40.725863618183
809966,-73.986152177844,40.749113556233
748886,-73.975745987891,40.750445483149
751897,-73.958373879605,40.820638192806
796476,NA,NA
812922,-73.942360986929,40.798938495945
790569,-73.943306119679,40.813440554263
748784,-73.980894840122,40.759248360654
810659,-73.942121013041,40.797939016855
813093,-73.998006441112,40.714819235016
809429,-73.935987472411,40.807910603766
813330,-73.987470964895,40.741334515969
811158,-73.983964070644,40.591130377368
813540,-73.971305728201,40.765170419951
748782,-74.011256988406,40.708302967137
747879,-73.98070098552,40.78242998141
807634,-74.002634819224,40.727412939431
794578,NA,NA
748837,-74.012418593532,40.706861641191
785608,NA,NA
812021,-73.981046990483,40.782158009606
813692,-73.937084495061,40.846944002363
807104,-73.984833323048,40.771692930009
808208,-74.001815975957,40.720139548563
810085,NA,NA
811399,-73.938130152017,40.846088364437
816374,-73.968448069611,40.794129727309
748887,-73.969744496965,40.758655509333
808211,-73.997787231341,40.731797985908
812129,-73.998181486501,40.724428510631
813056,-74.001638179687,40.723533346922
811488,-73.979732582336,40.749290387961
813965,-73.975583592607,40.763648060604
814782,-73.919214026034,40.864624013596
751918,-73.92841361741,40.86645410893
811264,-73.984032519959,40.777870104265
802123,-73.949447550787,40.796953200268
808045,-73.973154797438,40.762626824624
807831,-73.927300131846,40.86551358498
809229,-74.0038099,40.7532511
786348,-73.961709421994,40.797048818035
748779,-73.987492552554,40.760385348525
814387,-74.003026016989,40.7114329984
813202,-73.988734033885,40.720189509783
812826,-74.000885278625,40.723166310255
789926,-73.974093163918,40.786400464188
799897,-73.972182667534,40.789010177102
770293,-73.97581921359,40.79301718031
814766,-73.935750473261,40.853654994096
795213,-73.987489222955,40.730847269517
806203,-73.94656425166,40.82267232411
759839,NA,NA
797726,-73.964420228249,40.804065810891
798370,-73.957659087438,40.763512090867
814776,-73.997548024829,40.722472005228
773370,-73.939407688879,40.796779371277
812749,NA,NA
774235,-73.983309428271,40.726352817872
815526,-73.98336207214,40.721798856147
813199,-73.939189023310007,40.795063018238
751761,NA,NA
746448,-74.016205779365,40.706643400628
803433,NA,NA
788114,NA,NA
748776,-73.97258877022,40.756179156915
786520,-73.966624000397,40.805816491977
805752,-73.995587718661,40.741635816528
747915,-73.979724619415,40.78122277396
797799,-73.947769487842,40.781188509914
768469,NA,NA
812604,-73.970696745592,40.800002343555
814750,-74.004669784205,40.749581952491
798252,-73.976728969243,40.759159010257
814067,-73.919214026034,40.864624013596
811123,-74.016119222573,40.710837346267
815352,-73.980278917945,40.767344657017
815401,-73.996021009048,40.720173018389
817135,-74.010556989354,40.709149013604
814992,-73.998829487197,40.725599414557
815324,-73.997481513767,40.723270005883
814974,-73.949678047424,40.819922587677
748888,-73.970637002015,40.757408994603
816642,NA,NA
804060,-73.945173773032,40.815923864382
797484,-74.002152035945,40.705734687255
805269,-73.960576874186,40.768832187526
754471,-73.944138374457,40.778010386634
813254,-73.991339046289,40.75000003088
813463,-73.946918553783,40.80420652576
814984,-73.984015865177,40.591125721965
804917,-73.958307314405,40.813250578774
748774,-73.985930251161,40.752317178985
815783,-73.962369577805,40.775981538253
797950,-73.940950771076,40.816660763669
812387,-73.999320592982,40.722397947553
804243,-73.942691972847,40.813999777547
812718,-74.001420211979,40.725157840981
814423,-73.999198876985,40.723205249289
808301,-73.980651809033,40.736097551287
785828,-73.930099949515,40.851809188882
799252,-73.977866077616,40.781230070667
810761,-73.980316004707,40.726272990334
816275,-73.963619479719,40.803304012703
808919,-73.995214913387,40.747204461322
815769,-74.001532487572,40.724348505365
815592,-73.919214026034,40.864624013596
747917,-73.969349038773,40.797802014648
748889,-73.985636501281,40.754600994843
799290,-73.947294193199,40.777696104788
813739,-74.003538728956,40.733501589428
814857,-74.010313192372,40.719105948238
813818,NA,NA
783727,-73.964805041423,40.753308986664
811781,-74.009166178667,40.706210225522
811835,-73.945019475159,40.778820000486
808900,-73.976986482727,40.761713170369
811550,-73.99377689338,40.723599686919
813430,-74.001322523166,40.736192516428
812152,-73.946770516053,40.82902045106
798848,NA,NA
815572,-74.000269516143,40.731370961745
814303,NA,NA
814316,-73.981493243008,40.76312620694
748890,-74.008401710599,40.710566054412
814747,-73.986572802061,40.720856646412
814767,-73.937084495061,40.846944002363
801881,-73.943306320162,40.818472789749
806805,-73.999724804424,40.756112963779
